raw_country	n	raw_entry	clean_name	iso3_code	short_name	category	is_valid_country	is_geographic_feature	is_multiple_countries	is_historical	is_subnational	is_territory	requires_review	data_quality_tier	cleaning_notes
Niger	43	Niger	Niger	NER	NER	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Nigeria	1544	Nigeria	Nigeria	NGA	NGA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
No Travel Information	30	No Travel Information	NA	NA	NA	unmatched	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	low	Could not match to ISO 3166-1 standard
No Travel Reported	19	No Travel Reported	NA	NA	NA	unmatched	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	low	Could not match to ISO 3166-1 standard
North Korea	4	North Korea	North Korea	PRK	PRK	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
North Sea	35	North Sea	North Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Northern Mariana Islands	6	Northern Mariana Islands	Northern Mariana Islands	MNP	MNP	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Norway	9216	Norway	Norway	NOR	NOR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Oman	202	Oman	Oman	OMN	OMN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Pacific Ocean	1266	Pacific Ocean	Pacific Ocean	NA	NA	ocean	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Pakistan	2671	Pakistan	Pakistan	PAK	PAK	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Pakistan, Turkey	1	Pakistan, Turkey	Multiple countries	NA	NA	multiple	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	medium	Pakistan and Turkey
Palau	16	Palau	Palau	PLW	PLW	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Palestinian Territory	8	Palestinian Territory	Palestine	PSE	PSE	territory	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	medium	ISO 3166-1
Panama	553	Panama	Panama	PAN	PAN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Papua New Guinea	549	Papua New Guinea	Papua New Guinea	PNG	PNG	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Paraguay	147	Paraguay	Paraguay	PRY	PRY	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Peru	4056	Peru	Peru	PER	PER	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Philippine Sea	1	Philippine Sea	Philippine Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Philippines	657	Philippines	Philippines	PHL	PHL	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Poland	1969	Poland	Poland	POL	POL	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Portugal	3209	Portugal	Portugal	PRT	PRT	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Puerto Rico	664	Puerto Rico	Puerto Rico	PRI	PRI	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Qatar	70	Qatar	Qatar	QAT	QAT	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Red Sea	3	Red Sea	Red Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Reunion	155	Reunion	Réunion	REU	REU	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Romania	426	Romania	Romania	ROU	ROU	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Russia	9280	Russia	Russia	RUS	RUS	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Rwanda	280	Rwanda	Rwanda	RWA	RWA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Saint Kitts	29	Saint Kitts	St. Kitts & Nevis	KNA	KNA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Saint Kitts and Nevis	60	Saint Kitts and Nevis	St. Kitts & Nevis	KNA	KNA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Saint Lucia	26	Saint Lucia	St. Lucia	LCA	LCA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Saint Martin	3	Saint Martin	Saint Martin	MAF	MAF	territory	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	medium	Assumed French side - slightly more common in databases
Saint Vincent	13	Saint Vincent	St. Vincent & Grenadines	VCT	VCT	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Samoa	119	Samoa	Samoa	WSM	WSM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sao Tome and Principe	2	Sao Tome and Principe	São Tomé & Príncipe	STP	STP	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sargasso Sea	10	Sargasso Sea	Sargasso Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Saudi Arabia	1240	Saudi Arabia	Saudi Arabia	SAU	SAU	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sea of Korea	1	Sea of Korea	Sea of Japan	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Senegal	205	Senegal	Senegal	SEN	SEN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Serbia	403	Serbia	Serbia	SRB	SRB	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Seychelles	7	Seychelles	Seychelles	SYC	SYC	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sierra Leone	48	Sierra Leone	Sierra Leone	SLE	SLE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Singapore	18809	Singapore	Singapore	SGP	SGP	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Slovakia	447	Slovakia	Slovakia	SVK	SVK	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Slovenia	557	Slovenia	Slovenia	SVN	SVN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Solomon Islands	26	Solomon Islands	Solomon Islands	SLB	SLB	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Somalia	55	Somalia	Somalia	SOM	SOM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
South Africa	8795	South Africa	South Africa	ZAF	ZAF	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
South China Sea	1	South China Sea	South China Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
South Georgia and the South Sandwich Islands	2	South Georgia and the South Sandwich Islands	South Georgia & South Sandwich Islands	SGS	SGS	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
South Korea	9911	South Korea	South Korea	KOR	KOR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
South Sea	2	South Sea	South Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Southeast Asia	3	Southeast Asia	Southeast Asia	NA	NA	region	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	low	Regional designation
Southern Ocean	3	Southern Ocean	Southern Ocean	NA	NA	ocean	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Spain	9278	Spain	Spain	ESP	ESP	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sri Lanka	317	Sri Lanka	Sri Lanka	LKA	LKA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sudan	234	Sudan	Sudan	SDN	SDN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Suriname	27	Suriname	Suriname	SUR	SUR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Svalbard	60	Svalbard	Svalbard & Jan Mayen	SJM	SJM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Swaziland	276	Swaziland	Eswatini	SWZ	SWZ	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Sweden	9670	Sweden	Sweden	SWE	SWE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Switzerland	11641	Switzerland	Switzerland	CHE	CHE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Syria	31	Syria	Syria	SYR	SYR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tahiti	1	Tahiti	French Polynesia	PYF	PYF	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Taiwan	2195	Taiwan	Taiwan	TWN	TWN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tajikistan	17	Tajikistan	Tajikistan	TJK	TJK	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tanzania	5702	Tanzania	Tanzania	TZA	TZA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tasman Sea	1	Tasman Sea	Tasman Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Thailand	8400	Thailand	Thailand	THA	THA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
The Gambia	53	The Gambia	Gambia	GMB	GMB	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
The Netherlands	4	The Netherlands	Netherlands	NLD	NLD	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Removed article
Tibet	1	Tibet	China	CHN	CHN	subnational	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	medium	Autonomous region of China
Timor	1	Timor	Timor-Leste	TLS	TLS	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Assumed Timor-Leste (East Timor) - most likely interpretation
Togo	56	Togo	Togo	TGO	TGO	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tonga	153	Tonga	Tonga	TON	TON	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Trinidad	35	Trinidad	Trinidad & Tobago	TTO	TTO	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Trinidad and Tobago	68	Trinidad and Tobago	Trinidad & Tobago	TTO	TTO	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Tunisia	654	Tunisia	Tunisia	TUN	TUN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Turkey	1459	Turkey	Turkey	TUR	TUR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Turkmenistan	56	Turkmenistan	Turkmenistan	TKM	TKM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Turks and Caicos Islands	5	Turks and Caicos Islands	Turks & Caicos Islands	TCA	TCA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
UAE	1	UAE	United Arab Emirates	ARE	ARE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
UK	106	UK	United Kingdom	GBR	GBR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Standardized to GBR
USA	176176	USA	United States	USA	USA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Standardized to USA
USSR	19	USSR	Soviet Union	NA	USSR	historical	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	medium	Dissolved 1991
Uganda	2691	Uganda	Uganda	UGA	UGA	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Ukraine	612	Ukraine	Ukraine	UKR	UKR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
United Arab Emirates	251	United Arab Emirates	United Arab Emirates	ARE	ARE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
United Kingdom	36659	United Kingdom	United Kingdom	GBR	GBR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
United Kingdom (England, Wales & N. Ireland)	51	United Kingdom (England, Wales & N. Ireland)	United Kingdom	GBR	GBR	subnational	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	medium	Part of UK
United Kingdom (Scotland)	6	United Kingdom (Scotland)	United Kingdom	GBR	GBR	subnational	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	medium	Part of UK
United States Virgin Islands	2	United States Virgin Islands	U.S. Virgin Islands	VIR	VIR	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Uruguay	215	Uruguay	Uruguay	URY	URY	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Uzbekistan	382	Uzbekistan	Uzbekistan	UZB	UZB	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Vanuatu	9	Vanuatu	Vanuatu	VUT	VUT	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Venezuela	372	Venezuela	Venezuela	VEN	VEN	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Viet Nam	1852	Viet Nam	Vietnam	VNM	VNM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Alternative spelling
Vietnam	531	Vietnam	Vietnam	VNM	VNM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Virgin Islands	5	Virgin Islands	U.S. Virgin Islands	VIR	VIR	territory	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	medium	Assumed US Virgin Islands - more common than British
Wallis and Futuna	2	Wallis and Futuna	Wallis & Futuna	WLF	WLF	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Yellow Sea	2	Yellow Sea	Yellow Sea	NA	NA	sea	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	medium	Marine environment
Yemen	1	Yemen	Yemen	YEM	YEM	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Yugoslavia	10	Yugoslavia	Yugoslavia	NA	Yugoslavia	historical	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	medium	Dissolved 1992
Zambia	122	Zambia	Zambia	ZMB	ZMB	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
Zimbabwe	80	Zimbabwe	Zimbabwe	ZWE	ZWE	country	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	high	Matched via countrycode
uncalculated	27	uncalculated	NA	NA	NA	unmatched	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	low	Could not match to ISO 3166-1 standard
